.\Prefabs\Coin\coin1.png | (74,72)-> (76,72)
.\Room\3_Kitchen\UI\c1_r3_dish_2_mini.png | (181,189)-> (184,192)
.\Room\3_Kitchen\UI\c1_r3_dish_3_mini.png | (196,157)-> (196,160)
.\Room\3_Kitchen\UI\c1_r3_dish_icon.png | (113,113)-> (116,116)
.\Room\3_Kitchen\UI\c1_r3_flavour_1_mini.png | (189,150)-> (192,152)
.\Room\3_Kitchen\UI\c1_r3_flavour_3_mini.png | (201,210)-> (204,212)
.\Room\3_Kitchen\UI\c1_r3_flavour_icon.png | (113,113)-> (116,116)
.\Room\3_Kitchen\UI\c1_r3_floor_1_mini.png | (207,104)-> (208,104)
.\Room\3_Kitchen\UI\c1_r3_floor_2_mini.png | (207,104)-> (208,104)
.\Room\3_Kitchen\UI\c1_r3_floor_3_mini.png | (207,104)-> (208,104)
.\Room\3_Kitchen\UI\c1_r3_floor_icon.png | (113,113)-> (116,116)
.\Room\3_Kitchen\UI\c1_r3_fridge_1_mini.png | (75,186)-> (76,188)
.\Room\3_Kitchen\UI\c1_r3_fridge_3_mini.png | (75,189)-> (76,192)
.\Room\3_Kitchen\UI\c1_r3_fridge_icon.png | (113,113)-> (116,116)
.\Room\3_Kitchen\UI\c1_r3_ground_1_mini.png | (207,104)-> (208,104)
.\Room\3_Kitchen\UI\c1_r3_ground_2_mini.png | (207,104)-> (208,104)
.\Room\3_Kitchen\UI\c1_r3_ground_3_mini.png | (207,104)-> (208,104)
.\Room\3_Kitchen\UI\c1_r3_ground_icon.png | (113,113)-> (116,116)
.\Room\3_Kitchen\UI\c1_r3_lamp_1_mini.png | (187,160)-> (188,160)
.\Room\3_Kitchen\UI\c1_r3_lamp_2_mini.png | (187,167)-> (188,168)
.\Room\3_Kitchen\UI\c1_r3_lamp_3_mini.png | (195,161)-> (196,164)
.\Room\3_Kitchen\UI\c1_r3_lamp_icon.png | (113,113)-> (116,116)
.\Room\3_Kitchen\UI\c1_r3_partition_1_mini.png | (204,146)-> (204,148)
.\Room\3_Kitchen\UI\c1_r3_partition_2_mini.png | (203,146)-> (204,148)
.\Room\3_Kitchen\UI\c1_r3_partition_3_mini.png | (205,146)-> (208,148)
.\Room\3_Kitchen\UI\c1_r3_partition_icon.png | (113,113)-> (116,116)
.\Room\3_Kitchen\UI\c1_r3_plant_1_mini.png | (85,205)-> (88,208)
.\Room\3_Kitchen\UI\c1_r3_plant_2_mini.png | (85,203)-> (88,204)
.\Room\3_Kitchen\UI\c1_r3_plant_3_mini.png | (117,192)-> (120,192)
.\Room\3_Kitchen\UI\c1_r3_plant_icon.png | (113,113)-> (116,116)
.\Room\3_Kitchen\UI\c1_r3_range_1_mini.png | (214,89)-> (216,92)
.\Room\3_Kitchen\UI\c1_r3_range_2_mini.png | (214,85)-> (216,88)
.\Room\3_Kitchen\UI\c1_r3_range_3_mini.png | (214,86)-> (216,88)
.\Room\3_Kitchen\UI\c1_r3_range_icon.png | (113,113)-> (116,116)
.\Room\3_Kitchen\UI\c1_r3_shelf_1_mini.png | (93,194)-> (96,196)
.\Room\3_Kitchen\UI\c1_r3_shelf_2_mini.png | (96,193)-> (96,196)
.\Room\3_Kitchen\UI\c1_r3_shelf_3_mini.png | (93,199)-> (96,200)
.\Room\3_Kitchen\UI\c1_r3_shelf_icon.png | (113,113)-> (116,116)
.\Room\3_Kitchen\UI\c1_r3_smallwindow_1_mini.png | (110,187)-> (112,188)
.\Room\3_Kitchen\UI\c1_r3_smallwindow_2_mini.png | (110,187)-> (112,188)
.\Room\3_Kitchen\UI\c1_r3_smallwindow_3_mini.png | (111,187)-> (112,188)
.\Room\3_Kitchen\UI\c1_r3_smallwindow_icon.png | (113,113)-> (116,116)
.\Room\3_Kitchen\UI\c1_r3_table_1_mini.png | (136,202)-> (136,204)
.\Room\3_Kitchen\UI\c1_r3_table_2_mini.png | (168,142)-> (168,144)
.\Room\3_Kitchen\UI\c1_r3_table_3_mini.png | (209,108)-> (212,108)
.\Room\3_Kitchen\UI\c1_r3_table_icon.png | (113,113)-> (116,116)
.\Room\3_Kitchen\UI\c1_r3_wall_1_mini.png | (189,149)-> (192,152)
.\Room\3_Kitchen\UI\c1_r3_wall_2_mini.png | (189,149)-> (192,152)
.\Room\3_Kitchen\UI\c1_r3_wall_3_mini.png | (189,149)-> (192,152)
.\Room\3_Kitchen\UI\c1_r3_wall_icon.png | (113,113)-> (116,116)
.\Room\3_Kitchen\UI\c1_r3_window_1_mini.png | (80,199)-> (80,200)
.\Room\3_Kitchen\UI\c1_r3_window_2_mini.png | (79,199)-> (80,200)
.\Room\3_Kitchen\UI\c1_r3_window_3_mini.png | (79,199)-> (80,200)
.\Room\3_Kitchen\UI\c1_r3_window_icon.png | (113,113)-> (116,116)
.\Room\4_Exhinition room\Texture2D\c1_r4_bigmodel_icon.png | (113,113)-> (116,116)
.\Room\4_Exhinition room\Texture2D\c1_r4_billboard_icon.png | (113,113)-> (116,116)
.\Room\4_Exhinition room\Texture2D\c1_r4_booth_icon.png | (113,113)-> (116,116)
.\Room\4_Exhinition room\Texture2D\c1_r4_cabinet_2.png | (184,338)-> (184,340)
.\Room\4_Exhinition room\Texture2D\c1_r4_cabinet_icon.png | (113,113)-> (116,116)
.\Room\4_Exhinition room\Texture2D\c1_r4_carpet_icon.png | (113,113)-> (116,116)
.\Room\4_Exhinition room\Texture2D\c1_r4_decoration_icon.png | (113,113)-> (116,116)
.\Room\4_Exhinition room\Texture2D\c1_r4_floor_icon.png | (113,113)-> (116,116)
.\Room\4_Exhinition room\Texture2D\c1_r4_lamp_icon.png | (113,113)-> (116,116)
.\Room\4_Exhinition room\Texture2D\c1_r4_light_icon.png | (113,113)-> (116,116)
.\Room\4_Exhinition room\Texture2D\c1_r4_picture_1.png | (233,191)-> (236,192)
.\Room\4_Exhinition room\Texture2D\c1_r4_picture_2.png | (239,228)-> (240,228)
.\Room\4_Exhinition room\Texture2D\c1_r4_picture_3.png | (309,178)-> (312,180)
.\Room\4_Exhinition room\Texture2D\c1_r4_picture_icon.png | (113,113)-> (116,116)
.\Room\4_Exhinition room\Texture2D\c1_r4_plant_icon.png | (113,113)-> (116,116)
.\Room\4_Exhinition room\Texture2D\c1_r4_posters_icon.png | (113,113)-> (116,116)
.\Room\4_Exhinition room\Texture2D\c1_r4_sculpture_icon.png | (113,113)-> (116,116)
.\Room\4_Exhinition room\Texture2D\c1_r4_smallmodel_icon.png | (113,113)-> (116,116)
.\Room\4_Exhinition room\Texture2D\c1_r4_stairs_icon.png | (113,113)-> (116,116)
.\Room\4_Exhinition room\Texture2D\c1_r4_stool_icon.png | (113,113)-> (116,116)
.\Room\4_Exhinition room\Texture2D\c1_r4_top_icon.png | (113,113)-> (116,116)
.\Room\4_Exhinition room\Texture2D\c1_r4_trophy_icon.png | (113,113)-> (116,116)
.\Room\4_Exhinition room\Texture2D\c1_r4_wall_icon.png | (113,113)-> (116,116)
.\Room\4_Exhinition room\Texture2D\c1_r4_window_icon.png | (113,113)-> (116,116)
.\Room\4_Exhinition room\UI\c1_r4_bigmodel_1_mini.png | (212,97)-> (212,100)
.\Room\4_Exhinition room\UI\c1_r4_bigmodel_2_mini.png | (214,88)-> (216,88)
.\Room\4_Exhinition room\UI\c1_r4_bigmodel_3_mini.png | (180,125)-> (180,128)
.\Room\4_Exhinition room\UI\c1_r4_billboard_1_mini.png | (150,142)-> (152,144)
.\Room\4_Exhinition room\UI\c1_r4_billboard_2_mini.png | (148,171)-> (148,172)
.\Room\4_Exhinition room\UI\c1_r4_billboard_3_mini.png | (154,153)-> (156,156)
.\Room\4_Exhinition room\UI\c1_r4_booth_1_mini.png | (214,113)-> (216,116)
.\Room\4_Exhinition room\UI\c1_r4_booth_2_mini.png | (210,113)-> (212,116)
.\Room\4_Exhinition room\UI\c1_r4_booth_3_mini.png | (214,113)-> (216,116)
.\Room\4_Exhinition room\UI\c1_r4_cabinet_2_mini.png | (90,169)-> (92,172)
.\Room\4_Exhinition room\UI\c1_r4_cabinet_3_mini.png | (120,174)-> (120,176)
.\Room\4_Exhinition room\UI\c1_r4_carpet_1_mini.png | (207,104)-> (208,104)
.\Room\4_Exhinition room\UI\c1_r4_carpet_2_mini.png | (207,104)-> (208,104)
.\Room\4_Exhinition room\UI\c1_r4_carpet_3_mini.png | (207,104)-> (208,104)
.\Room\4_Exhinition room\UI\c1_r4_decoration_1_mini.png | (112,166)-> (112,168)
.\Room\4_Exhinition room\UI\c1_r4_decoration_2_mini.png | (141,161)-> (144,164)
.\Room\4_Exhinition room\UI\c1_r4_decoration_3_mini.png | (101,172)-> (104,172)
.\Room\4_Exhinition room\UI\c1_r4_floor_1_mini.png | (207,104)-> (208,104)
.\Room\4_Exhinition room\UI\c1_r4_floor_2_mini.png | (207,104)-> (208,104)
.\Room\4_Exhinition room\UI\c1_r4_floor_3_mini.png | (207,104)-> (208,104)
.\Room\4_Exhinition room\UI\c1_r4_lamp_1_mini.png | (204,61)-> (204,64)
.\Room\4_Exhinition room\UI\c1_r4_lamp_2_mini.png | (191,68)-> (192,68)
.\Room\4_Exhinition room\UI\c1_r4_lamp_3_mini.png | (193,59)-> (196,60)
.\Room\4_Exhinition room\UI\c1_r4_light_1_mini.png | (193,124)-> (196,124)
